owner_id,owner_login,owner_name,owner_url,homepage_url,owner_description,owner_logo,quarter_start,quarter_end,github_stars_start,github_stars_end,github_stars_growth_rate,github_stars_growth_percentile,github_stars_final_weight,github_contributors_start,github_contributors_end,github_contributors_growth_rate,github_contributors_growth_percentile,github_contributors_final_weight,npm_downloads_start,npm_downloads_end,npm_downloads_growth_rate,npm_downloads_growth_percentile,npm_downloads_final_weight,pypi_downloads_start,pypi_downloads_end,pypi_downloads_growth_rate,pypi_downloads_growth_percentile,pypi_downloads_final_weight,cargo_downloads_start,cargo_downloads_end,cargo_downloads_growth_rate,cargo_downloads_growth_percentile,cargo_downloads_final_weight
O_kgDODxG9fw,openclaw,openclaw,https://github.com/openclaw,https://openclaw.ai,"Your personal, open source AI assistant.",https://avatars.githubusercontent.com/u/252820863?v=4,2026-01-01,2026-04-01,1236.0,365509.0,294.71925566343043,100.0,0.3697353100273398,29.0,1383.0,46.689655172413794,100.0,0.3660940162065675,0.0,2481260.0,247.126,100.0,0.2641706737660926,,,,,,,,,,
O_kgDODlKKEQ,lingdojo,lingdojo,https://github.com/lingdojo,https://kanadojo.com,"Building aesthetic, open-source, community-driven language-learning solutions.",https://avatars.githubusercontent.com/u/240290321?v=4,2026-01-01,2026-04-01,1121.0,2045.0,0.8242640499553969,94.81068441406602,0.1962282829532963,55.0,1167.0,20.21818181818182,99.9881333807998,0.8037717170467037,,,,,,,,,,,,,,,
O_kgDOD0GqQw,gastownhall,Gas Town Hall,https://github.com/gastownhall,https://gastownhall.ai,"Building community for Gas Town, your AI agent orchestrator.",https://avatars.githubusercontent.com/u/255961667?v=4,2026-01-01,2026-04-01,1000.0,13652.0,12.652,99.96402554186528,0.4835941425737004,14.0,239.0,16.071428571428573,99.97626676159962,0.5164058574262996,,,,,,,,,,,,,,,
MDEyOk9yZ2FuaXphdGlvbjEyNTAyMjk2,googlearchive,Google Archive,https://github.com/googlearchive,,"Where old projects go to retire.  All projects here are completely frozen, though feel free to fork and continue using them on your own.",https://avatars.githubusercontent.com/u/12502296?v=4,2026-01-01,2026-04-01,4153.0,87507.0,20.07079219841079,99.99100638546632,1.0,1.0,1.0,-0.9,,,,,,,,,,,,,,,,,
MDEyOk9yZ2FuaXphdGlvbjU0MDcyMA==,Apress,Apress,https://github.com/Apress,www.apress.com,Source code for books published by Apress. For more information go to www.apress.com/source-code.,https://avatars.githubusercontent.com/u/540720?v=4,2026-01-01,2026-04-01,1219.0,14540.0,10.927809680065629,99.94603831279792,0.9525469712711374,24.0,24.0,0.0,16.192001898659072,0.0474530287288626,,,,,,,,,,,,,,,
O_kgDODYBPqw,noctalia-dev,Noctalia,https://github.com/noctalia-dev,https://noctalia.dev,,https://avatars.githubusercontent.com/u/226512811?v=4,2026-01-01,2026-04-01,2326.0,5578.0,1.3981083404987102,97.52675600323772,0.4225411394734593,16.0,158.0,8.875,99.96440014239944,0.5774588605265406,,,,,,,,,,,,,,,
O_kgDOCtk5kQ,KeygraphHQ,Keygraph,https://github.com/KeygraphHQ,https://keygraph.io/,"Open source AI Pentester, part of the broader AppSec platform (Shannon Pro)",https://avatars.githubusercontent.com/u/182008209?v=4,2026-01-01,2026-04-01,3319.0,35690.0,9.753238927387768,99.91905746919689,1.0,3.0,7.0,-0.3,,,0.0,774.0,-0.9226,,,,,,,,,,,,
O_kgDODriGyA,nextlevelbuilder,Next Level Builder,https://github.com/nextlevelbuilder,https://nextlevelbuilder.io,From Zero to One Is Always the Hardest Part. We Can Take You There.,https://avatars.githubusercontent.com/u/246974152?v=4,2026-01-01,2026-04-01,5535.0,51510.0,8.306233062330623,99.89207662559582,0.6152904942019003,9.0,66.0,5.6,99.95253352319924,0.3847095057980997,,,,,,,,,,,,,,,
MDEyOk9yZ2FuaXphdGlvbjI5NTc1MzY4,go-chi,go-chi,https://github.com/go-chi,,,https://avatars.githubusercontent.com/u/29575368?v=4,2026-01-01,2026-04-01,1889.0,24445.0,11.940709370037055,99.9550319273316,0.7317409070648597,30.0,34.0,0.1333333333333333,88.03844784620861,0.2682590929351403,,,,,,,,,,,,,,,
O_kgDOCyGprw,aiming-lab,AIMING Lab,https://github.com/aiming-lab,,"AIMING Lab @ UNC-Chapel Hill. AIMING stands for Adaptive Intelligence through Alignment, Interaction and Learning.",https://avatars.githubusercontent.com/u/186755503?v=4,2026-01-01,2026-04-01,1347.0,19526.0,13.49591685226429,99.97301915639896,0.6133349331871687,35.0,58.0,0.6571428571428571,98.86080455678176,0.3866650668128313,,,,,,0.0,946.0,-0.9054,,,,,,,
MDEyOk9yZ2FuaXphdGlvbjY3MjA4Nzkx,fingerprintjs,Fingerprint ®,https://github.com/fingerprintjs,https://fingerprint.com,The device intelligence platform for high-scale applications. ,https://avatars.githubusercontent.com/u/67208791?v=4,2026-01-01,2026-04-01,1857.0,29479.0,14.874528809908456,99.98201277093264,0.5730595164826507,26.0,28.0,0.0769230769230769,74.02397057078439,0.1417915345139812,643187.0,1912423.0,1.973354560959721,66.7681071211199,0.2851489490033679,,,,,,,,,,
O_kgDOCo0qrw,tadata-org,Tadata,https://github.com/tadata-org,https://tadata.com/,Help Developers and Their AI Agents Use Your Product,https://avatars.githubusercontent.com/u/177023663?v=4,2026-01-01,2026-04-01,11299.0,11835.0,0.0474378263563147,42.33294361003687,0.2861959782312426,15.0,15.0,0.0,16.192001898659072,0.0159007213388395,,,,,,42895.0,4281227.0,98.80713369856626,100.0,0.6979033004299179,,,,,
O_kgDOCHdKXA,withcatai,Catai,https://github.com/withcatai,,Run AI models locally on your machine with Node.js,https://avatars.githubusercontent.com/u/142035548?v=4,2026-01-01,2026-04-01,1805.0,2457.0,0.3612188365650969,86.6804568756183,0.2630057658029707,11.0,13.0,0.1818181818181818,92.68422926308295,0.0662732426367092,33751.0,2948610.0,86.36363367011347,99.81740718198418,0.6707209915603201,,,,,,,,,,
MDEyOk9yZ2FuaXphdGlvbjMyNjY3MTA5,DocsHome,DocsHome,https://github.com/DocsHome,,专注知识分享、技术内容翻译。,https://avatars.githubusercontent.com/u/32667109?v=4,2026-01-01,2026-04-01,1163.0,8425.0,6.244196044711952,99.8201277093264,1.0,3.0,3.0,-0.7,,,,,,,,,,,,,,,,,
MDEyOk9yZ2FuaXphdGlvbjQ0NDc3NTA2,firecracker-microvm,firecracker-microvm,https://github.com/firecracker-microvm,,,https://avatars.githubusercontent.com/u/44477506?v=4,2026-01-01,2026-04-01,3787.0,37699.0,8.954845524161605,99.9100638546632,0.6725759398886894,35.0,45.0,0.2857142857142857,96.2679482615403,0.3274240601113106,,,,,,,,,,,,,,,
