owner_id,owner_login,owner_name,owner_url,homepage_url,owner_description,owner_logo,quarter_start,quarter_end,github_stars_start,github_stars_end,github_stars_growth_rate,github_stars_growth_percentile,github_stars_final_weight,github_contributors_start,github_contributors_end,github_contributors_growth_rate,github_contributors_growth_percentile,github_contributors_final_weight,npm_downloads_start,npm_downloads_end,npm_downloads_growth_rate,npm_downloads_growth_percentile,npm_downloads_final_weight,pypi_downloads_start,pypi_downloads_end,pypi_downloads_growth_rate,pypi_downloads_growth_percentile,pypi_downloads_final_weight,cargo_downloads_start,cargo_downloads_end,cargo_downloads_growth_rate,cargo_downloads_growth_percentile,cargo_downloads_final_weight
MDEyOk9yZ2FuaXphdGlvbjM0NDE4MjY0,OpenCilk,OpenCilk,https://github.com/OpenCilk,https://www.opencilk.org/,,https://avatars.githubusercontent.com/u/34418264?v=4,2026-01-01,2026-04-01,0.0,125.0,0.25,41.43835616438356,0.0392159900246025,0.0,3318.0,662.6,100.0,0.9607840099753976,,,,,,,,,,,,,,,
O_kgDOCez4rg,GSSoC24,GSSoC24,https://github.com/GSSoC24,https://gssoc.girlscript.tech/,"GSSoC is a 3-month long #OpenSource program by GirlScript Foundation, India.",https://avatars.githubusercontent.com/u/166525102?v=4,2026-01-01,2026-04-01,0.0,559.0,4.59,85.29855988760099,0.37561752010458,0.0,2825.0,564.0,99.9929893438026,0.6243824798954198,,,,,,,,,,,,,,,
MDEyOk9yZ2FuaXphdGlvbjQwOTE2MTky,TP-Lab,TokenPocket Lab,https://github.com/TP-Lab,https://tp.xyz/,TokenPocket is a world-wide decentralized web3 crypto wallet and browser extension. We commit to making blockchain easy and happen everywhere.,https://avatars.githubusercontent.com/u/40916192?v=4,2026-01-01,2026-04-01,0.0,890.0,7.9,90.93431682472776,0.4352741735178517,0.0,2163.0,431.6,99.98597868760515,0.5647258264821483,,,,,,,,,,,,,,,
MDEyOk9yZ2FuaXphdGlvbjM4MTM2MTg=,nektos,nektos,https://github.com/nektos,nektos.com,,https://avatars.githubusercontent.com/u/3813618?v=4,2026-01-01,2026-04-01,0.0,69706.0,696.06,100.0,1.0,,3.0,,,,,,,,,,,,,,,,,,
O_kgDOCxLqbw,WeDot-Engine,WeDot Engine,https://github.com/WeDot-Engine,https://wedot.pj568.sbs,A multi-platform 2D and 3D game engine focused solely on technology and user experience,https://avatars.githubusercontent.com/u/185789039?v=4,2026-01-01,2026-04-01,0.0,364.0,2.64,77.64840182648402,0.3019758387309558,0.0,1346.0,268.2,99.97896803140776,0.6980241612690442,,,,,,,,,,,,,,,
MDEyOk9yZ2FuaXphdGlvbjc5NTYxNTE=,OpnTec,opntec,https://github.com/OpnTec,https://opntec.org,Developing and Sharing Open Technologies for a Better World,https://avatars.githubusercontent.com/u/7956151?v=4,2026-01-01,2026-04-01,0.0,64017.0,639.17,99.9964875307341,1.0,0.0,2.0,-0.6,,,,,,,,,,,,,,,,,
O_kgDOCyZszw,join-the-flock,Flock,https://github.com/join-the-flock,getflocked.dev,"Flutter, by the community, for the community",https://avatars.githubusercontent.com/u/187067599?v=4,2026-01-01,2026-04-01,0.0,559.0,4.59,85.29855988760099,0.375930218975022,0.0,962.0,191.4,99.97195737521032,0.6240697810249779,,,,,,,,,,,,,,,
O_kgDOCac40A,altera-fpga,Altera Corporation,https://github.com/altera-fpga,https://altera-fpga.github.io/,Altera Developer Site,https://avatars.githubusercontent.com/u/161954000?v=4,2026-01-01,2026-04-01,0.0,403.0,3.03,79.72602739726027,0.3216303504120863,0.0,816.0,162.2,99.9649467190129,0.6783696495879137,,,,,,,,,,,,,,,
MDEyOk9yZ2FuaXphdGlvbjYxMDkxMTc1,stacksgov,Stacks Community Governance,https://github.com/stacksgov,https://stacks.org/,Resources related to governance of the Stacks project and ecosystem.,https://avatars.githubusercontent.com/u/61091175?v=4,2026-01-01,2026-04-01,148.0,297.0,1.0067567567567568,61.98103266596418,0.1933458276738978,32.0,33.0,0.03125,42.12352776219854,0.2334998682525879,1241.0,626981.0,504.22240128928286,100.0,0.5731543040735142,,,,,,,,,,
O_kgDODCRHQw,QuipNetwork,Quip Network,https://github.com/QuipNetwork,https://quip.network,,https://avatars.githubusercontent.com/u/203704131?v=4,2026-01-01,2026-04-01,0.0,36013.0,359.13,99.98595012293644,1.0,0.0,4.0,-0.2,,,,,,,,,,,,,,,,,
