owner_id,owner_login,owner_name,owner_url,homepage_url,owner_description,owner_logo,quarter_start,quarter_end,github_stars_start,github_stars_end,github_stars_growth_rate,github_stars_growth_percentile,github_stars_final_weight,github_contributors_start,github_contributors_end,github_contributors_growth_rate,github_contributors_growth_percentile,github_contributors_final_weight,npm_downloads_start,npm_downloads_end,npm_downloads_growth_rate,npm_downloads_growth_percentile,npm_downloads_final_weight,pypi_downloads_start,pypi_downloads_end,pypi_downloads_growth_rate,pypi_downloads_growth_percentile,pypi_downloads_final_weight,cargo_downloads_start,cargo_downloads_end,cargo_downloads_growth_rate,cargo_downloads_growth_percentile,cargo_downloads_final_weight
O_kgDODxG9fw,openclaw,openclaw,https://github.com/openclaw,https://openclaw.ai,"Your personal, open source AI assistant.",https://avatars.githubusercontent.com/u/252820863?v=4,2026-01-01,2026-04-01,3505.0,356876.0,100.8191155492154,100.0,0.369842545630423,29.0,1246.0,41.96551724137931,100.0,0.3659171968587829,264842.0,2150924.0,7.121536614283233,95.91078066914498,0.2642402575107941,,,,,,,,,,
O_kgDOD4bFfQ,gsd-build,GSD,https://github.com/gsd-build,https://gsd.build,,https://avatars.githubusercontent.com/u/260490621?v=4,2026-01-01,2026-04-01,1123.0,47527.0,41.32146037399822,99.9920760697306,0.439466770195134,20.0,146.0,6.3,99.9541914796152,0.3710772742677686,843.0,82196.0,81.196,99.36802973977696,0.1894559555370973,,,,,,,,,,
O_kgDOD5sO9A,zeroclaw-labs,ZeroClaw Labs,https://github.com/zeroclaw-labs,www.zeroclawlabs.ai,Personal AI Private Assistant,https://avatars.githubusercontent.com/u/261820148?v=4,2026-01-01,2026-04-01,1094.0,29063.0,25.56581352833638,99.98415213946116,0.5196963245285283,5.0,198.0,18.8,99.9885478699038,0.4803036754714718,,,,,,,,,,,34.0,167.0,-0.833,,
O_kgDOCtk5kQ,KeygraphHQ,Keygraph,https://github.com/KeygraphHQ,https://keygraph.io/,"Open source AI Pentester, part of the broader AppSec platform (Shannon Pro)",https://avatars.githubusercontent.com/u/182008209?v=4,2026-01-01,2026-04-01,2979.0,34790.0,10.678415575696542,99.97622820919176,1.0,3.0,6.0,-0.4,,,471.0,569.0,-0.431,,,,,,,,,,,,
O_kgDODlKKEQ,lingdojo,lingdojo,https://github.com/lingdojo,https://kanadojo.com,"Building aesthetic, open-source, community-driven language-learning solutions.",https://avatars.githubusercontent.com/u/240290321?v=4,2026-01-01,2026-04-01,1162.0,1928.0,0.6592082616179001,99.02535657686212,0.2250167028162492,55.0,959.0,16.436363636363637,99.9770957398076,0.7749832971837507,,,,,,,,,,,,,,,
O_kgDOCvDOew,canopy-network,Canopy Network,https://github.com/canopy-network,https://canopynetwork.org,A mesh security network and a building framework for Web3 developers that eliminates the need for layers and guarantees sovereignty,https://avatars.githubusercontent.com/u/183553659?v=4,2026-01-01,2026-04-01,1081.0,8310.0,6.687326549491212,99.95245641838352,0.957989815031212,10.0,11.0,0.1,83.61200183234081,0.0420101849687881,,,,,,,,,,,,,,,
O_kgDOCo0qrw,tadata-org,Tadata,https://github.com/tadata-org,https://tadata.com/,Help Developers and Their AI Agents Use Your Product,https://avatars.githubusercontent.com/u/177023663?v=4,2026-01-01,2026-04-01,11313.0,11784.0,0.0416335189604879,72.69413629160063,0.3846573218842662,15.0,15.0,0.0,17.951213925790196,0.0151813737620846,,,,,,42895.0,18514831.0,430.63144888681666,100.0,0.6001613043536491,,,,,
O_kgDODFmiUw,datahaven-xyz,datahaven-xyz,https://github.com/datahaven-xyz,,,https://avatars.githubusercontent.com/u/207200851?v=4,2026-01-01,2026-04-01,1082.0,8793.0,7.126617375231054,99.96038034865292,0.8228769352515782,16.0,18.0,0.125,87.86646816307834,0.1771230647484217,,,,,,,,,,,,,,,
O_kgDOD5oOAA,pinchtab,Pinchtab,https://github.com/pinchtab,https://pinchtab.com,Browser control for AI agents. 12MB Go binary. HTTP API. Accessibility-first. 🦀,https://avatars.githubusercontent.com/u/261754368?v=4,2026-01-01,2026-04-01,1010.0,8317.0,7.234653465346534,99.96830427892236,0.7789205339877827,2.0,19.0,0.9,99.20407695831425,0.2092275121931662,378.0,1911.0,0.911,20.557620817843866,0.0118519538190511,,,,,,,,,,
O_kgDOB_0pVg,llm-jp,llm-jp,https://github.com/llm-jp,https://llm-jp.nii.ac.jp/,,https://avatars.githubusercontent.com/u/134031702?v=4,2026-01-01,2026-04-01,1468.0,1509.0,0.0279291553133514,60.96671949286846,0.1262020889337469,32.0,33.0,0.03125,50.78447091158955,0.2368819466678584,383.0,270359.0,269.359,99.86988847583643,0.6369159643983946,,,,,,,,,,
MDEyOk9yZ2FuaXphdGlvbjM5MTk0MjUx,vxcontrol,VXControl,https://github.com/vxcontrol,https://vxcontrol.com,,https://avatars.githubusercontent.com/u/39194251?v=4,2026-01-01,2026-04-01,2219.0,13834.0,5.234339792699414,99.92076069730588,0.9084116513196682,7.0,13.0,0.3,96.54718277599632,0.0915883486803319,,,,,,,,,,,,,,,
O_kgDOB4tCVg,genlayerlabs,GenLayer Labs,https://github.com/genlayerlabs,https://genlayerlabs.com,"AI research lab dedicated to building technology in the pursuit of sovereignty, transparency, and decentralization.",https://avatars.githubusercontent.com/u/126566998?v=4,2026-01-01,2026-04-01,1369.0,7798.0,4.696128560993426,99.91283676703644,0.9848029818418936,12.0,12.0,0.0,17.951213925790196,0.0151970181581064,,,,,,186.0,171.0,-0.829,,,,,,,
O_kgDOB_wQQg,VectifyAI,Vectify AI,https://github.com/VectifyAI,https://vectify.ai,"Building next-gen Vectorless, Reasoning-based RAG",https://avatars.githubusercontent.com/u/133959746?v=4,2026-01-01,2026-04-01,4346.0,23437.0,4.392774965485504,99.90491283676704,1.0,5.0,9.0,-0.1,,,233.0,40.0,-0.96,,,,,,,,,,,,
O_kgDOBxDX6Q,different-ai,Different AI,https://github.com/different-ai,,Fun with LLMs,https://avatars.githubusercontent.com/u/118544361?v=4,2026-01-01,2026-04-01,1857.0,14227.0,6.661281637049004,99.9445324881141,0.5347563311528277,9.0,50.0,4.0,99.89693082913422,0.3381579526572356,7.0,9844.0,8.844,96.80297397769516,0.1270857161899367,24.0,15.0,-0.985,,,,,,,
O_kgDOBqBGOg,rust-boom,rust-boom,https://github.com/rust-boom,,,https://avatars.githubusercontent.com/u/111167034?v=4,2026-01-01,2026-04-01,1679.0,1711.0,0.0190589636688505,49.51664025356577,0.1442008070613934,1.0,1.0,-0.9,,,7747.0,1264748.0,162.25648638182523,99.70260223048328,0.8557991929386065,,,,,,,,,,
MDEyOk9yZ2FuaXphdGlvbjE2MDU3ODY3,intellij-rust,IntelliJ Rust,https://github.com/intellij-rust,,Umbrella organization for all the projects related to IntelliJ Rust plugin,https://avatars.githubusercontent.com/u/16057867?v=4,2026-01-01,2026-04-01,4554.0,4563.0,0.0019762845849802,9.001584786053883,0.0669297886092889,35.0,35.0,0.0,17.951213925790196,0.0913575176543574,7747.0,1264748.0,162.25648638182523,99.70260223048328,0.8417126937363536,,,,,,,,,,
O_kgDOB4xzCA,kroma-network,Kroma,https://github.com/kroma-network,https://kroma.network,Experience the Full Spectrum of Scaled Ethereum | Kroma is a Universal ZK rollup on Ethereum,https://avatars.githubusercontent.com/u/126645000?v=4,2026-01-01,2026-04-01,7773.0,7957.0,0.0236716840344783,56.141045958795566,0.3248880824638702,18.0,216.0,11.0,99.9656436097114,0.6751119175361298,0.0,12.0,-0.988,,,,,,,,,,,,
O_kgDOCKhK-A,iOfficeAI,OfficeAI,https://github.com/iOfficeAI,https://office-ai.net,Smart Office. Simple AI.,https://avatars.githubusercontent.com/u/145246968?v=4,2026-01-01,2026-04-01,3190.0,20845.0,5.5344827586206895,99.93660855784468,0.602485966460669,19.0,60.0,2.1578947368421053,99.77095739807604,0.397514033539331,,,,,,,,,,,,,,,
O_kgDOC47-tQ,Open-LLM-VTuber,Open-LLM-VTuber,https://github.com/Open-LLM-VTuber,https://open-llm-vtuber.github.io/,Open LLM VTuber Project,https://avatars.githubusercontent.com/u/193920693?v=4,2026-01-01,2026-04-01,5383.0,6312.0,0.1725803455322311,94.68304278922346,0.5242321089561303,27.0,27.0,0.0,17.951213925790196,0.0460351923004877,383.0,270359.0,269.359,99.86988847583643,0.4297326987433821,,,,,,,,,,
O_kgDOBXzWmA,OSU-NLP-Group,OSU Natural Language Processing,https://github.com/OSU-NLP-Group,,,https://avatars.githubusercontent.com/u/92067480?v=4,2026-01-01,2026-04-01,7595.0,8103.0,0.0668861092824226,83.1299524564184,0.4953983450173575,51.0,51.0,0.0,17.951213925790196,0.0774586507803134,383.0,270359.0,269.359,99.86988847583643,0.4271430042023289,204.0,381.0,-0.619,,,,,,,
O_kgDOD53rOw,nullclaw,NullClaw,https://github.com/nullclaw,,,https://avatars.githubusercontent.com/u/262007611?v=4,2026-01-01,2026-04-01,1460.0,6895.0,3.7226027397260273,99.8890649762282,0.5382425649886534,9.0,64.0,5.4,99.942739349519,0.4617574350113466,,,,,,,,,,,,,,,
O_kgDODSGzfA,BIT-DataLab,BIT-DataLab,https://github.com/BIT-DataLab,,"BIT-DataLab: Official repository of the Data Lab at the School of Computer Science, Beijing Institute of Technology. Led by Prof. Chengliang Chai.",https://avatars.githubusercontent.com/u/220312444?v=4,2026-01-01,2026-04-01,1416.0,5963.0,3.2111581920903953,99.84152139461172,1.0,4.0,8.0,-0.2,,,,,,,,,,,,,,,,,
O_kgDODpelEw,accomplish-ai,Accomplish,https://github.com/accomplish-ai,https://www.accomplish.ai,,https://avatars.githubusercontent.com/u/244819219?v=4,2026-01-01,2026-04-01,2445.0,9944.0,3.067075664621677,99.83359746434232,1.0,,22.0,,,,625.0,152.0,-0.848,,,,,,,,,,,,
O_kgDOCy4YdQ,tambo-ai,tambo ai,https://github.com/tambo-ai,tambo.co,Build AI assistants and agents in React with a few lines of code.,https://avatars.githubusercontent.com/u/187570293?v=4,2026-01-01,2026-04-01,1736.0,11104.0,5.3963133640553,99.92868462757528,0.5198154406388046,26.0,53.0,1.0384615384615383,99.32432432432432,0.3539071547178832,2716.0,11732.0,3.3195876288659796,86.46840148698884,0.1262774046433122,,,,,,,,,,
O_kgDOCcNTaw,eigent-ai,Eigent AI,https://github.com/eigent-ai,www.eigent.ai,The World's First Multi-agent Workforce,https://avatars.githubusercontent.com/u/163795819?v=4,2026-01-01,2026-04-01,2518.0,13291.0,4.278395552025417,99.89698890649764,0.5906577355568595,19.0,58.0,2.0526315789473686,99.72514887769124,0.4093422644431405,,,,,,,,,,,,,,,
O_kgDODjhTkA,K-Dense-AI,K-Dense,https://github.com/K-Dense-AI,www.k-dense.ai,,https://avatars.githubusercontent.com/u/238572432?v=4,2026-01-01,2026-04-01,4661.0,20352.0,3.366444968890796,99.85736925515056,0.7532823836630915,7.0,25.0,1.5,99.58772331653688,0.2467176163369085,,,,,,552.0,645.0,-0.355,,,,,,,
O_kgDODriGyA,nextlevelbuilder,Next Level Builder,https://github.com/nextlevelbuilder,https://nextlevelbuilder.io,From Zero to One Is Always the Hardest Part. We Can Take You There.,https://avatars.githubusercontent.com/u/246974152?v=4,2026-01-01,2026-04-01,14022.0,54529.0,2.8888175723862504,99.8256735340729,0.6303405338055685,9.0,55.0,4.5,99.9083829592304,0.3696594661944314,,,,,,,,,,,,,,,
O_kgDODPo_qQ,NevaMind-AI,NevaMind AI,https://github.com/NevaMind-AI,nevamind.ai,,https://avatars.githubusercontent.com/u/217726889?v=4,2026-01-01,2026-04-01,2956.0,13561.0,3.587618403247632,99.8811410459588,0.6710698624551106,15.0,35.0,1.3333333333333333,99.49610627576727,0.3288467229056668,,,,,,291.0,1054.0,0.054,1.677148846960168,8.341463922266614e-05,,,,,
MDEyOk9yZ2FuaXphdGlvbjMyOTY4OTY=,1sters,1sters,https://github.com/1sters,http://www.1sters.com,极客实验室,https://avatars.githubusercontent.com/u/3296896?v=4,2026-01-01,2026-04-01,1183.0,4260.0,2.6010143702451396,99.78605388272584,1.0,,,,,,,,,,,,,,,,,,,,
O_kgDODyAx1Q,OpenHub-Store,GitHub Store,https://github.com/OpenHub-Store,https://www.github-store.org," A free, open-source app store for GitHub releases — browse, discover, and install apps with one click.",https://avatars.githubusercontent.com/u/253768149?v=4,2026-01-01,2026-04-01,2696.0,9853.0,2.654673590504451,99.80190174326464,0.9297065782668276,3.0,12.0,0.2,93.82157581310123,0.0702934217331722,,,,,,,,,,,,,,,
MDEyOk9yZ2FuaXphdGlvbjg1NzQwMDUx,sail-sg,Sea AI Lab,https://github.com/sail-sg,https://sail.sea.com,,https://avatars.githubusercontent.com/u/85740051?v=4,2026-01-01,2026-04-01,12191.0,14254.0,0.1692231974407349,94.52456418383518,0.4507996894023146,54.0,58.0,0.074074074074074,75.12597343105818,0.2458645335965276,383.0,270359.0,269.359,99.86988847583643,0.3019372524034444,255.0,1280.0,0.28,9.713487071977635,0.0013985245977135,,,,,
