owner_id,owner_login,owner_name,owner_url,homepage_url,owner_description,owner_logo,quarter_start,quarter_end,github_stars_start,github_stars_end,github_stars_growth_rate,github_stars_growth_percentile,github_stars_final_weight,github_contributors_start,github_contributors_end,github_contributors_growth_rate,github_contributors_growth_percentile,github_contributors_final_weight,npm_downloads_start,npm_downloads_end,npm_downloads_growth_rate,npm_downloads_growth_percentile,npm_downloads_final_weight,pypi_downloads_start,pypi_downloads_end,pypi_downloads_growth_rate,pypi_downloads_growth_percentile,pypi_downloads_final_weight,cargo_downloads_start,cargo_downloads_end,cargo_downloads_growth_rate,cargo_downloads_growth_percentile,cargo_downloads_final_weight
O_kgDODyZDRA,claude-world,Claude-World,https://github.com/claude-world,https://claude-world.com,"Open-source tools for mastering Claude Code — Director Mode, MCP Servers, Security, Trending Data",https://avatars.githubusercontent.com/u/254165828?v=4,2026-01-01,2026-04-01,0.0,157.0,0.57,52.836318932209345,0.1663670347432459,0.0,1.0,-0.8,,,,,,,,0.0,159602.0,158.602,99.96999699969996,0.8336329652567541,,,,,
MDEyOk9yZ2FuaXphdGlvbjU0NDM1MzEz,lukilabs,Craft Docs,https://github.com/lukilabs,https://craft.do,,https://avatars.githubusercontent.com/u/54435313?v=4,2026-01-01,2026-04-01,0.0,7958.0,78.58,99.72251492799438,0.4883056073411411,0.0,11.0,1.2,81.83538979248458,0.1853519880399119,0.0,768071.0,767.071,100.0,0.3263424046189468,,,,,,,,,,
MDEyOk9yZ2FuaXphdGlvbjM0NDE4MjY0,OpenCilk,OpenCilk,https://github.com/OpenCilk,https://www.opencilk.org/,,https://avatars.githubusercontent.com/u/34418264?v=4,2026-01-01,2026-04-01,0.0,125.0,0.25,41.43835616438356,0.0392159900246025,0.0,3318.0,662.6,100.0,0.9607840099753976,,,,,,,,,,,,,,,
MDEyOk9yZ2FuaXphdGlvbjUzMTQxMzQy,Ascend,Ascend,https://github.com/Ascend,ascend.huawei.com,昇腾万里，让智能无所不及,https://avatars.githubusercontent.com/u/53141342?v=4,2026-01-01,2026-04-01,561.0,767.0,0.3672014260249554,46.25219529329118,0.220250787386439,385.0,417.0,0.0831168831168831,50.12619181155357,0.2953146508842446,804.0,1112.0,0.112,54.96427691549643,0.0022419499448059,5927.0,988580.0,165.79264383330522,100.0,0.4821926117845104,,,,,
O_kgDODzN3xQ,A3S-Lab,A3S Lab,https://github.com/A3S-Lab,https://a3s-lab.github.io/a3s/,Large-scale high-availability infrastructure focused on AI Agents,https://avatars.githubusercontent.com/u/255031237?v=4,2026-01-01,2026-04-01,0.0,348.0,2.48,76.69827889005971,0.3698485641018825,0.0,5.0,0.0,19.73499719573752,0.0096456242974658,0.0,5606.0,4.606,96.77260408967726,0.1202445478043922,0.0,157147.0,156.147,99.93999399939996,0.5002612637962595,146.0,378.0,-0.622,,
O_kgDOCU4RJQ,open-constructs,Open Constructs Foundation,https://github.com/open-constructs,https://the-ocf.org/,The software projects of the OCF,https://avatars.githubusercontent.com/u/156111141?v=4,2026-01-01,2026-04-01,0.0,158.0,0.58,53.16473480857042,0.1861779952720164,,4.0,,,,91.0,161624.0,160.624,99.9260901699926,0.8138220047279836,,,,,,,,,,
O_kgDOCez4rg,GSSoC24,GSSoC24,https://github.com/GSSoC24,https://gssoc.girlscript.tech/,"GSSoC is a 3-month long #OpenSource program by GirlScript Foundation, India.",https://avatars.githubusercontent.com/u/166525102?v=4,2026-01-01,2026-04-01,0.0,559.0,4.59,85.29855988760099,0.37561752010458,0.0,2825.0,564.0,99.9929893438026,0.6243824798954198,,,,,,,,,,,,,,,
O_kgDODwX6VQ,AgentWorkforce,Agent Workforce,https://github.com/AgentWorkforce,https://agent-relay.com,Building the future of AI agent workforce orchestration for software development,https://avatars.githubusercontent.com/u/252050005?v=4,2026-01-01,2026-04-01,7.0,601.0,5.01,86.32244467860907,0.4624318025998123,3.0,7.0,0.4,69.77355580482333,0.1206522241210305,0.0,303763.0,302.763,99.95072677999508,0.4169159732791571,,,,,,,,,,
O_kgDOD2W5TA,GrafeoDB,Grafeo,https://github.com/GrafeoDB,grafeo.dev,,https://avatars.githubusercontent.com/u/258324812?v=4,2026-01-01,2026-04-01,0.0,478.0,3.78,82.86793115560239,0.370315714051014,0.0,2.0,-0.6,,,0.0,44660.0,43.66,99.65508745996551,0.2481298910335162,0.0,155143.0,154.143,99.9099909990999,0.3815543949154698,,,,,
O_kgDOD8PtuA,paperclipai,Paperclip,https://github.com/paperclipai,https://paperclip.ing/,"The zero-human business building company - manage business goals, not pull requests",https://avatars.githubusercontent.com/u/264498616?v=4,2026-01-01,2026-04-01,0.0,47586.0,474.86,99.9929750614682,0.3981947193116762,0.0,54.0,9.8,98.60838474481211,0.3649962641210297,0.0,384503.0,383.503,99.97536338999754,0.2368090165672939,,,,,,,,,,
