owner_id,owner_login,owner_name,owner_url,homepage_url,owner_description,owner_logo,quarter_start,quarter_end,github_stars_start,github_stars_end,github_stars_growth_rate,github_stars_growth_percentile,github_stars_final_weight,github_contributors_start,github_contributors_end,github_contributors_growth_rate,github_contributors_growth_percentile,github_contributors_final_weight,package_downloads_start,package_downloads_end,package_downloads_growth_rate,package_downloads_growth_percentile,package_downloads_final_weight
O_kgDODxG9fw,openclaw,openclaw,https://github.com/openclaw,https://openclaw.ai,"Your personal, open source AI assistant.",https://avatars.githubusercontent.com/u/252820863?v=4,2026-01-01,2026-04-01,1236.0,365509.0,294.71925566343043,100.0,1.0,29.0,1383.0,46.689655172413794,100.0,1.0,0.0,16744280.0,1673.428,100.0,1.0
O_kgDOD0GqQw,gastownhall,Gas Town Hall,https://github.com/gastownhall,https://gastownhall.ai,"Building community for Gas Town, your AI agent orchestrator.",https://avatars.githubusercontent.com/u/255961667?v=4,2026-01-01,2026-04-01,1000.0,13652.0,12.652,99.98545666084932,1.0,14.0,239.0,16.071428571428573,99.97880457821113,1.0,,,,,
O_kgDOB_9BPQ,NousResearch,Nous Research,https://github.com/NousResearch,https://nousresearch.com,,https://avatars.githubusercontent.com/u/134168893?v=4,2026-01-01,2026-04-01,3665.0,30283.0,7.262755798090041,99.95636998254798,1.0,112.0,270.0,1.4107142857142858,99.63967782958882,1.0,0.0,170619.0,16.0619,99.89235737351991,1.0
O_kgDOBxDX6Q,different-ai,Different AI,https://github.com/different-ai,,Fun with LLMs,https://avatars.githubusercontent.com/u/118544361?v=4,2026-01-01,2026-04-01,1470.0,15622.0,9.627210884353742,99.97091332169866,1.0,9.0,52.0,4.2,99.92581602373886,1.0,82628.0,191206.0,1.3140581885075278,97.88302834589165,1.0
O_kgDODlKKEQ,lingdojo,lingdojo,https://github.com/lingdojo,https://kanadojo.com,"Building aesthetic, open-source, community-driven language-learning solutions.",https://avatars.githubusercontent.com/u/240290321?v=4,2026-01-01,2026-04-01,1121.0,2045.0,0.8242640499553969,99.35282140779525,1.0,55.0,1167.0,20.21818181818182,99.98940228910556,1.0,,,,,
O_kgDODriGyA,nextlevelbuilder,Next Level Builder,https://github.com/nextlevelbuilder,https://nextlevelbuilder.io,From Zero to One Is Always the Hardest Part. We Can Take You There.,https://avatars.githubusercontent.com/u/246974152?v=4,2026-01-01,2026-04-01,5535.0,51510.0,8.306233062330623,99.96364165212331,1.0,9.0,66.0,5.6,99.9576091564222,1.0,,,,,
MDEyOk9yZ2FuaXphdGlvbjU0OTQ0MTc0,larksuite,Lark Technologies Pte. Ltd.,https://github.com/larksuite,https://www.larksuite.com,,https://avatars.githubusercontent.com/u/54944174?v=4,2026-01-01,2026-04-01,2819.0,11293.0,3.006030507272082,99.8327515997673,1.0,35.0,76.0,1.1714285714285717,99.53370072064432,1.0,601489.0,11455119.0,18.044602644437383,99.9102978112666,1.0
MDEyOk9yZ2FuaXphdGlvbjgxODM3MjQ0,vectorize-io,vectorize-io,https://github.com/vectorize-io,,,https://avatars.githubusercontent.com/u/81837244?v=4,2026-01-01,2026-04-01,1023.0,7580.0,6.409579667644183,99.94909831297268,1.0,14.0,54.0,2.857142857142857,99.87282746926664,1.0,80466.0,182235.0,1.2647453582879726,97.77538571941156,1.0
O_kgDODYBPqw,noctalia-dev,Noctalia,https://github.com/noctalia-dev,https://noctalia.dev,,https://avatars.githubusercontent.com/u/226512811?v=4,2026-01-01,2026-04-01,2326.0,5578.0,1.3981083404987102,99.65823152995928,1.0,16.0,158.0,8.875,99.96820686731664,1.0,,,,,
O_kgDOBnhMWg,vercel-labs,Vercel Labs,https://github.com/vercel-labs,https://vercel.com,Develop. Preview. Ship. Creators of Next.js.,https://avatars.githubusercontent.com/u/108547162?v=4,2026-01-01,2026-04-01,13719.0,100614.0,6.333916466214738,99.94182664339732,1.0,104.0,325.0,2.125,99.78804578211108,1.0,3679696366.0,4584689365.0,0.2459423031101257,79.42231790455688,1.0
